	1	2	uniprotID	ENSG	ENST	DBD_coords	AD_coords	RD_coords	Bif_coords	length	IDR_coords
317			Q15361		ENST00000334270	617-660,666-684,687-745				1	1-94,144-492,868-906
318			Q15475		ENST00000645694	127-181				1	178-285
319			Q15596		ENST00000452400	30-88	1010-1161,786-825,1288-1464			1	1-43,95-108,183-233,381-1465
320			Q15672		ENST00000242261	109-160	161-202			1	1-106
321			Q15699		ENST00000316824	133-189	192-326			1	1-138,204-327
322			Q15744		ENST00000206513	203-265	1-64,140-162			1	1-201
323			Q15784		ENST00000302584	122-174	293-382			1	1-123,208-383
324			Q15915		ENST00000282928	240-260,269-296,302-326,332-356,362-384				1	1-238,378-448
325			Q15916		ENST00000373659	301-323,326-348,354-376,382-405				1	134-298,399-425
326			Q15928		ENST00000240499	172-193,199-221,227-249,255-277,283-305,311-333,339-361,367-389,395-417,423-445,451-473				1	67-185
327			Q15935		ENST00000314531	212-235,240-262,268-290,296-318,324-346,352-374,380-402,408-430,436-458,464-486,492-514,520-542				1	49-215
328			Q15937		ENST00000342483	193-215,221-243,249-271,277-299,305-327,333-355,361-383,389-411,417-439,445-467,473-495				1	1-188
329			Q16254		ENST00000379378	18-83	302-413			1	1-21,200-357
330			Q16520		ENST00000286639	24-87				1	1-54,95-126
331			Q16559		ENST00000334077	3-55				1	66-109
332			Q16600		ENST00000306006	207-229,235-257,263-285,291-313,319-341,347-369,375-397,403-425,431-453				1	1-208
333			Q16621		ENST00000312156	265-327	1-209			1	1-232
334			Q16633		ENST00000393067	NA-NA	72-151			1	1-257
335			Q16649		ENST00000297689	76-127				1	1-77,153-463
336			Q16676		ENST00000615637	125-214				1	1-125,222-466
337			Q17RP2		ENST00000296736	6-58				1	1-37,415-465
338			Q2M1V0		ENST00000308700	83-139				1	1-87,144-246
339			Q2TB10		ENST00000265827	230-253,288-310,486-508,519-542				1	1-229,264-481,561-665
340			Q2VY69		ENST00000421176	203-225,231-253,259-281,287-309,315-337,343-365,371-393,399-420,427-449,455-477,483-505,511-533,539-556,567-583				1	1-14,53-203,539-594
341			Q32M78		ENST00000308650	195-217,223-244,251-273,279-301,307-329,335-357,363-385,391-413,419-440,447-469,475-497,503-525,531-553,559-581,587-609,615-637				1	1-22,61-194
342			Q32MQ0		ENST00000269394	1-723				1	1-18,60-724
343			Q3C1V8		ENST00000343035	111-167	194-233			1	1-126,164-234
344			Q3KNW1		ENST00000332281	152-174,183-205,209-231,237-259,265-286				1	1-152
345			Q3KQV3		ENST00000404801	262-276,282-304,310-332,338-360,366-388,394-416,422-444,452-472,478-500,506-528,534-556,562-584				1	1-282,586-633
346			Q3MJ62		ENST00000289788	249-271,277-299,305-327,333-355,361-383				1	1-45,117-247
347			Q3SY56		ENST00000342234	254-278,284-308,314-336	42-171			1	1-232,335-377
348			Q3SYB3		ENST00000622588	108-197				1	1-110,179-418
349			Q3ZCT1		ENST00000523638	27-49,55-77,83-105,136-158,164-186,192-214,220-242,248-270,276-298,304-326,332-354,360-382,388-410				1	NA-NA
350			Q494X3		ENST00000587539	159-181,187-209,215-237,243-266,271-293,299-321,327-349,355-377,383-405,411-433,439-461,467-489,495-517,523-546				1	1-152
351			Q499Z4		ENST00000306562	14-36,42-64,70-92,95-122,129-150,163-185,199-221,227-249,255-277,283-305,311-333,339-361,367-389,396-417				1	150-164,423-453
352			Q49AA0		ENST00000372705	271-293,299-321,327-349,355-377,383-405,411-433,439-461,467-489,495-517				1	1-81,125-269
353			Q49AG3		ENST00000413761	119-158				1	1-116,155-199,674-694
354			Q49AM1		ENST00000240050	49-360				1	1-45
355			Q4W5G0		ENST00000603357	4-54				1	52-72,397-478
356			Q52M93		ENST00000532828	158-180,186-208,214-236,242-264,270-292,298-320,325-347,355-376,382-404,410-432,438-460,466-488,494-516,522-544,550-572,578-600,606-628,634-656,662-684,690-712,718-740,746-768				1	1-30,74-153,335-349
357			Q5EBL2		ENST00000598519	36-58,64-86,92-114,120-142,148-170,176-198,204-226,295-314,356-378,386-408,454-476,482-504,510-532,538-560,566-588,622-644				1	1-32,223-452,640-1060
358			Q5H9I0		ENST00000310125	107-188				1	1-124,368-406
359			Q5HY98		ENST00000439461	216-236,243-265,271-293,299-321,327-349,355-377,383-405,411-433,439-462				1	63-215
360			Q5HYK9		ENST00000292069	144-166,172-194,200-222,226-247,253-275,282-303,330-352,358-380,386-408,415-437,443-465,471-493,499-521,527-549,555-577,583-605				1	1-18,68-144,222-331,593-611
361			Q5JNZ3		ENST00000377179	247-269,275-297,303-325,331-353,359-381,387-409,415-437,443-465,471-493,499-521,527-549,555-577,583-605,611-634				1	1-246,629-667
362			Q5JPB2		ENST00000371030	144-166,172-196				1	1-141,193-1678
363			Q5JT82		ENST00000372299	283-307,313-337,343-365				1	1-285,358-390
364			Q5SXM1		ENST00000343776	125-147,153-175,181-203,209-231,237-259,265-287,293-315,321-343,349-371,377-399,405-427,433-455,461-483,489-502				1	1-95
365			Q5SXM2		ENST00000298532	252-287,294-341,346-395,401-447,453-497				1	1-85,122-159,497-723,759-773,811-1470
366			Q5T0B9		ENST00000373428	227-249,255-277,283-305,311-335,341-363,371-393				1	1-227,407-421
367			Q5T5D7		ENST00000372699	159-181,187-209,215-237,243-265,271-293,299-321,327-349,355-377				1	54-157
368			Q5T619		ENST00000339948	279-301,307-329,335-358,364-386,392-414,420-442,448-470,476-498,504-526,532-554				1	1-276,553-569
369			Q5TA89		ENST00000378453	17-73				1	1-15,122-167
370			Q5TEC3		ENST00000421812	189-211,261-283,290-311,317-339,353-375,383-403,409-431,437-459,465-487,493-515,521-543				1	1-251
371			Q5TGS1		ENST00000377898	1-50				1	54-187
372			Q5TGY3		ENST00000247087	1-1603				1	1-1604
373			Q5VV16		ENST00000377420	NA-NA				1	1-109,198-417
374			Q5VYV0		ENST00000376708	13-102				1	1-17,111-433
375			Q5VZB9		ENST00000325870	93-139,225-247				1	1-91,153-329,368-505
376			Q5XKR4		ENST00000306422	105-161	292-325,168-234			1	1-111,164-326
377			Q63HK5		ENST00000240587	214-238,275-299				1	1-377,420-900,1014-1039
378			Q66K89		ENST00000301727	192-214,220-242,248-269,435-457,463-485,491-513,519-541,547-569,575-596				1	1-190,277-443,600-785
379			Q68DE3		ENST00000316407	19-70				1	1-35,125-2246
380			Q68DI1		ENST00000317178	207-229,264-286,292-314,320-342,348-370,376-398,404-426,432-454,460-482,488-510				1	1-259,506-519
381			Q68EA5		ENST00000306908	140-162,196-218,224-246,252-274,280-302,308-330,336-358,364-386,392-414,420-442,448-470,476-498,504-526				1	42-196,526-556
382			Q6AZW8		ENST00000322734	50-72,78-100,106-128,134-156,162-184,190-212,218-240,246-268,274-296,302-324				1	1-46
383			Q6B0B8		ENST00000309880	6-59				1	139-161,364-430
384			Q6BEB4		ENST00000375281	296-320,326-350,356-378	77-151			1	1-293
385			Q6DD87		ENST00000610935	66-88,95-116,122-144,150-172,178-200,280-303,317-339				1	1-62,205-278,343-383
386			Q6IQ21		ENST00000356321	27-49,55-77,81-103,160-182,188-210,216-238,475-497,503-525,625-647,653-675				1	1-14,127-158,247-292,346-475,523-627,677-692
387			Q6IQ32		ENST00000262198	1047-1098				1	192-210,260-689,942-1031
388			Q6IV72		ENST00000378061	190-212,246-268,274-296,302-324,330-352,358-380,386-408,414-436,442-464,470-492,498-520,526-548,554-576,582-604,610-632,638-660,666-688,694-716,722-744				1	1-14,58-244,740-753
389			Q6NSW7		ENST00000528386	96-152	172-305			1	1-104,152-306
390			Q6NX45		ENST00000354377	152-173,179-201,207-229,235-257,263-285,291-313,319-341,347-369,375-397,403-425,431-453,459-481				1	1-140
391			Q6NX49		ENST00000269829	380-402,408-430,436-458,464-486,492-514,520-542,548-570,576-598,604-626,632-654,660-682,688-710				1	64-302
392			Q6P280		ENST00000591340	282-304,310-332,338-360,366-388,394-416,422-444,450-472,478-500,506-528,534-550				1	1-35,76-282
393			Q6P9A1		ENST00000332854	239-261,267-289,295-317,323-345,351-373,379-401,407-429,435-457,463-485,491-513,519-541,547-569,575-597				1	1-14,53-238,585-600
394			Q6PG37		ENST00000356725	226-248,254-276,282-304,310-332,338-360,366-388,394-416,422-444,450-472,478-500,506-528,534-556				1	51-225,555-637
395			Q6PJQ5		ENST00000339140	192-285	22-101			1	55-173
396			Q6QHK4		ENST00000332372	66-118				1	1-19,123-220
397			Q6R2W3		ENST00000452236	749-785				1	1-31,130-223,508-601,661-733,778-809
398			Q6S9Z5		ENST00000296600	1-364				1	1-219,254-365
399			Q6SJ96		ENST00000247219	167-249,257-340	2-101			1	1-159
400			Q6U7Q0		ENST00000415922	71-93,99-121,127-149,155-177,183-205,211-233,239-261,267-289,293-315,353-373				1	1-39,315-403
401			Q6VB84		ENST00000342833	NA-NA				1	1-110,178-418
402			Q6VUC0		ENST00000373235	216-416				1	1-201,421-443
403			Q6XD76		ENST00000342331	75-125				1	1-34,136-173
404			Q6ZMS4		ENST00000436261	159-181,187-209,215-237,243-265,271-293,299-321,327-349,355-377,383-405,411-433,439-461,467-489				1	1-158,498-544
405			Q6ZMV8		ENST00000597761	173-195,228-250,256-278,284-306,312-334,340-362,370-390,396-418,424-446,452-474,480-502				1	61-176
406			Q6ZMW2		ENST00000481138	291-307,316-332,343-360,394-416,422-444,450-472,478-500,506-528,534-556,562-584,590-612,618-640,646-668,674-696				1	59-391,685-700
407			Q6ZMY9		ENST00000359971	178-199,205-227,233-255,261-283,289-311,317-339,368-390,396-418,424-446,452-474				1	1-16,75-176,339-364,471-493
408			Q6ZN06		ENST00000396403	215-237,243-265,271-293,299-321,327-349,355-377,383-405,411-433,439-461,467-489,495-517,523-545,551-573,579-601				1	50-218
409			Q6ZN08		ENST00000344519	172-195,201-223,229-251,257-279,285-307,313-335,341-363,369-391,397-419,425-447,453-475,481-503,509-531,537-559				1	53-172
410			Q6ZN32		ENST00000454449	40-120				1	174-362
411			Q6ZN57		ENST00000361362	102-124,130-152,158-180,186-208,214-236,242-264,270-292,298-320,326-348,354-376,382-404,410-432,438-460				1	1-96
412			Q6ZN79		ENST00000359286	172-194				1	67-167
413			Q6ZNA1		ENST00000597252	218-240,246-268,274-296,302-324,330-352,358-380,386-408,414-436,442-464,470-492,498-520,526-548,554-576,582-604,610-632,638-660,666-688,722-744,750-772,778-800,806-828,834-856,862-884,890-912				1	57-215,913-937
414			Q6ZNC4		ENST00000327835	193-218				1	1-413
415			Q6ZNG1		ENST00000338230	218-240,246-268,274-296,302-324,330-352,358-380,386-408,414-436,470-492,498-520,526-548,554-576,582-604,610-632,638-660,666-688,694-716				1	1-183
416			Q6ZNG2		ENST00000332700	188-243				1	1-189,252-340
417			Q6ZNH5		ENST00000311044	106-128,134-156,162-184,190-212,218-240,246-268,274-296,302-324,330-352,358-380,386-408,414-436,442-464,470-492				1	1-102,486-499
418			Q6ZQN5		ENST00000388920	102-191				1	1-91,195-319
419			Q6ZTZ1		ENST00000438480	49-129				1	1-37,136-208
420			Q7L3S4		ENST00000319296	63-85,91-113,119-141,147-169,175-197,203-225,231-253,259-281				1	1-60,299-318
421			Q7L945		ENST00000361113	100-123,167-189,195-217,223-245,251-273,279-301,307-329,335-357,363-385,391-413,419-441				1	46-163,443-462
422			Q7RTS1		ENST00000314018	76-128				1	1-81,140-190
423			Q7RTS3		ENST00000376504	164-216	1-110			1	1-153,223-329
424			Q7RTU0		ENST00000563496	51-102				1	1-58,108-168
425			Q7RTU1		ENST00000296096	79-129				1	1-84,147-215
426			Q7RTU3		ENST00000367734	84-138				1	1-72,157-273
427			Q7RTU4		ENST00000391429	66-118				1	1-66,122-236
428			Q7RTU7		ENST00000567180	76-128				1	1-90,144-202
429			Q7Z3I7		ENST00000319286	132-154,160-182,188-210,216-238,244-266,272-294,300-322,328-350,384-406,412-434,440-462,468-490				1	1-131,345-379,492-530
430			Q7Z3V5		ENST00000358744	139-161,195-217,223-245,251-273,279-301,307-329,335-357,363-385,391-413,419-441,447-469,474-496,502-524,530-552,558-580,586-608				1	42-193
431			Q7Z570		ENST00000302277	58-80				1	125-1210
432			Q7Z5D8		ENST00000382119	92-159				1	1-107
433			Q7Z6M4		ENST00000241527	55-302				1	1-62,323-382
434			Q7Z6R9		ENST00000008391	209-409	22-101			1	1-183,413-453
435			Q7Z7K2		ENST00000302017	160-182,188-210,216-238,244-266,272-294,300-322,355-377,431-453,459-481,487-509,515-537,543-565				1	1-160,321-431,561-596
436			Q86T24		ENST00000326624	493-515,521-544,549-573				1	122-484,601-673
437			Q86TJ5		ENST00000317243	324-346,352-374,380-402,408-430,436-458,464-486,492-514				1	1-45,90-320
438			Q86UD4		ENST00000358067	203-225,231-253,259-281,287-309,315-337,343-365,371-393,399-421,427-449,455-477,483-505,511-533				1	1-201,506-542
439			Q86UE3		ENST00000347077	217-239,245-267,273-295,301-323,329-351,357-379,385-407,413-435,441-463,469-491,497-519,525-547,553-575,581-603,609-631,637-659,665-687,693-715,721-743,749-771,777-799,805-827				1	1-62,114-221
440			Q86UZ6		ENST00000245663	418-440,446-468,474-488				1	139-410,499-590
441			Q86V71		ENST00000358491	173-195,229-251,257-279,285-307,313-335,341-363,369-391,425-447,453-475,481-503,509-531,537-559,565-587,621-643				1	56-169,641-675
442			Q86VE0		ENST00000322217	17-84				1	1-19,88-400
443			Q86XF7		ENST00000314228	63-85,91-113,119-141,147-170,177-199,213-236				1	1-66
444			Q86XN6		ENST00000432094	242-264,270-292,298-320,326-348,354-376,382-404,410-432,438-460,466-488,494-516,522-544,550-572,578-600,606-628,634-656,662-684,690-712,718-740				1	1-226
445			Q86XU0		ENST00000333952	263-285,291-313,319-341,347-369,375-397,403-425,431-453,459-481,487-509,515-537				1	47-286,542-585
446			Q86Y25		ENST00000315475	216-238,244-266,272-294,300-322,328-350,356-378,384-406,412-434,440-462,468-490,496-518				1	63-211,525-555
447			Q86YH2		ENST00000613655	306-327,342-365,372-395,402-425,431-453,459-482				1	1-284,486-544
448			Q8HWS3		ENST00000332958	121-199				1	1-108,559-929
449			Q8IUE0		ENST00000321217	51-108				1	1-57,117-186
450			Q8IUE1		ENST00000283891	51-108				1	1-56,116-242
451			Q8IVC4		ENST00000306910	159-181,214-236,242-264,270-292,298-320,326-348,354-376,382-404				1	1-17,60-160,402-422
452			Q8IX07		ENST00000319555	241-262,291-314,320-342,578-598,855-877				1	1-135,190-221,268-289,377-972
453			Q8IY51		ENST00000304337	15-67	391-437			1	1-25,381-513
454			Q8IYA7		ENST00000375790	72-130				1	1-74,155-353
455			Q8IYB9		ENST00000610261	145-167,173-194,200-222,228-250,256-278,284-306,312-334,340-362,368-390,396-418,424-446,480-502,508-530,536-558,564-586,592-614,620-642				1	63-150
456			Q8IYI8		ENST00000304060	173-194,200-222,228-250,259-278,284-306,312-334,340-362,368-390,396-418,424-452,458-480				1	46-171,494-596
457			Q8IYN0		ENST00000358296	205-227,233-255,261-283,289-311,317-339,345-367,373-395,401-423,429-451,457-479,485-507				1	102-202
458			Q8IYX0		ENST00000255746	212-234,240-262,268-290,296-318,324-346,352-374,380-402				1	1-14,74-211
459			Q8IZ26		ENST00000343459	195-217,251-273,279-301,307-329,335-357,363-385,391-413,419-441,447-469,475-498,503-525,531-553				1	77-249
460			Q8IZM8		ENST00000636215	572-594,746-771,788-809,815-839	680-724			1	1-54,477-545,600-743,868-1087
461			Q8N100		ENST00000373673	41-93				1	1-31,138-153
462			Q8N123		ENST00000276127	275-300				1	1-133
463			Q8N141		ENST00000392161	170-192,198-220,226-248,254-276,282-303,338-360,366-388,394-416,422-444,450-472,478-500,506-528				1	49-167
464			Q8N143		ENST00000293805	328-350,356-378,384-406,412-434,440-463				1	1-324,460-480
465			Q8N196		ENST00000317578	206-258				1	1-85,246-740
466			Q8N1W2		ENST00000268154	295-317,323-345,351-373,379-401,405-429,435-457,463-485,491-513,519-541,547-569,575-598				1	1-293,601-665
467			Q8N3J9		ENST00000337815	3-25,31-53,59-81,87-109,115-137,143-165,171-193,199-221,227-249				1	NA-NA
468			Q8N446		ENST00000315678	33-55				1	1-349
469			Q8N5J4		ENST00000551346	112-194	1-81			1	1-111,210-249
470			Q8N5P1		ENST00000409573	191-216,220-245,247-269				1	1-183
471			Q8N680		ENST00000325144	363-385,390-411,448-469				1	1-17,89-360,471-515
472			Q8N693		ENST00000372588	140-196				1	1-143,225-407
473			Q8N782		ENST00000474037	243-265,271-293,299-321,327-349,355-377,383-405,411-433,439-461				1	52-240
474			Q8N7E2		ENST00000323684	111-142				1	141-426
475			Q8N7G0		ENST00000606183	122-192,211-264				1	1-114,269-282
476			Q8N7M2		ENST00000324461	207-229,235-257,263-285,291-313,319-341,347-369,375-397,403-425,431-453,459-481,487-509,515-537,571-593,599-621				1	1-206
477			Q8N7Q3		ENST00000395385	197-219,225-247,253-275,281-303,309-331,365-387,449-471,477-499,505-527,533-555,561-583				1	1-192
478			Q8N859		ENST00000429591	237-256,286-308,314-336,342-364,370-392,398-420				1	1-31,86-284
479			Q8N895		ENST00000318442	253-275,281-303,309-331,337-359,366-387,393-415,421-443,449-471,477-499,505-527,533-556				1	1-252,570-745
480			Q8N8L2		ENST00000323169	103-120,131-153,159-181,187-209,215-237,243-265,271-293,299-321,329-349,355-377,383-405,411-433				1	1-101
481			Q8N8Y5		ENST00000330701	87-109,115-137,143-165,171-193				1	1-73
482			Q8N972		ENST00000397732	102-124,140-162,168-190,196-218,224-246,252-274,280-302,308-330,336-358,364-386,392-414,420-442,448-470,476-498,532-554,560-582,588-610,616-638				1	1-100
483			Q8N9F8		ENST00000320129	178-200,216-238,244-266,272-294,300-322,328-350,356-378,384-406,412-434,440-462,468-490,496-518				1	1-14,62-178
484			Q8NA42		ENST00000352998	170-192,198-220,226-248,254-276,282-304,310-332,338-360,366-388,394-416,422-444,450-472				1	51-164
485			Q8NA92		ENST00000292894	4-87				1	82-178,256-275
486			Q8NAF0		ENST00000325421	44-66,72-94,100-123,231-248,270-292,298-320,384-406,412-434,441-463				1	1-52,131-212,249-269,322-382,475-563
487			Q8NAM6		ENST00000318203	312-334,340-362,368-390,396-418				1	1-312,412-434
488			Q8NAP3		ENST00000321464	342-364,371-392,460-482,488-510,1010-1032,1038-1060,1066-1088,1125-1147				1	1-344,392-462,541-1010,1143-1196
489			Q8NBF1		ENST00000312233	196-220,229-256,263-286,292-316,322-346	447-620			1	1-196,377-621
490			Q8NCA9		ENST00000325351	101-123,129-151,196-218,224-246,252-274				1	1-103,149-191,270-324
491			Q8NCY6		ENST00000301919	9-77				1	92-200,269-291
492			Q8ND82		ENST00000370978	236-257,315-337,352-375,382-405,412-435,441-463,469-491,638-661,684-711				1	1-236,494-610,716-738
493			Q8NDP4		ENST00000304030	186-208,214-236,242-264,270-292,298-320,326-348,354-376,382-404,410-432,438-460,466-490				1	1-184
494			Q8NDX6		ENST00000416904	101-123,129-151,157-178				1	1-92
495			Q8NDY6		ENST00000370346	101-155				1	1-104,174-226
496			Q8NFJ8		ENST00000321870	243-297				1	1-242,314-382
497			Q8NHV9		ENST00000217999	104-160				1	1-106
498			Q8NHW3		ENST00000333480	253-318	1-146			1	1-227,317-354
499			Q8TAK6		ENST00000382348	106-165				1	1-110,178-272
500			Q8TAU0		ENST00000344586	149-205				1	1-365
501			Q8TAW3		ENST00000317398	285-307,313-335,341-363,369-391,397-419,425-447,451-473,479-501,507-529				1	1-47,99-282
502			Q8TAX0		ENST00000272223	175-197,203-225,231-253				1	1-171
503			Q8TB69		ENST00000590202	292-314,320-342,348-370,376-398,404-426,432-454,460-482,488-510,516-538				1	1-16,58-289
504			Q8TBZ5		ENST00000296091	155-177,183-205,211-233,239-261,267-289,295-317,323-345,351-373,379-401,407-429,435-457,463-485,491-513,519-541				1	1-155
505			Q8TBZ8		ENST00000339282	103-125,141-163,169-191,197-219,225-247,253-275,281-303,309-331,337-359,365-387,393-415,421-443,449-471,477-499,505-527				1	1-101,532-554
506			Q8TD23		ENST00000359788	172-193,200-221,228-245,256-278,284-306,312-334,340-362,368-390,396-418,424-446,452-474,480-502,508-530,536-558				1	55-172,556-569
507			Q8TD94		ENST00000583337	195-219,225-249,255-277				1	1-201,277-324
508			Q8TF32		ENST00000311048	204-226,232-254,260-282,288-310,316-338,344-366,372-394,400-422,428-450,456-478,484-506,512-534,540-557				1	1-17,78-195
509			Q8TF45		ENST00000396147	230-252,258-280,314-336,342-364,370-392,398-420,426-448,454-476,482-504,510-532,538-560,566-585,591-613,619-641,647-669				1	1-226,661-677
510			Q8TF50		ENST00000301215	140-163,197-219,305-327,332-354,360-382,442-465,472-494,500-522,528-550,573-595				1	1-108,164-306,408-451,597-623
511			Q8WTR7		ENST00000270617	320-342,347-369,375-397,403-425,431-453,459-481,487-509,562-584,591-613,646-668,674-696,702-724,730-752,758-780,786-808,814-836,842-864	3-48,85-126			1	1-323,539-561,620-641
512			Q8WUU4		ENST00000303809	232-253,259-281,387-408,414-436,445-468				1	1-93,189-231,276-390
513			Q8WVJ9		ENST00000448943	67-118				1	1-63
514			Q8WXB4		ENST00000341164	403-422,428-450,456-478,484-506,512-534,540-562,568-590,596-618,624-646,652-674,680-702,708-730,736-758,764-786				1	1-64,116-422
515			Q8WXI9		ENST00000368655	420-454				1	56-145,192-350,482-594
516			Q8WXT5		ENST00000377413	NA-NA				1	1-109,197-417
517			Q92610		ENST00000299927	827-850,892-915,983-1006,1013-1036,1043-1069	2-81			1	1-577,656-703,840-858,908-979,1061-1127,1181-1268
518			Q92618		ENST00000443185	32-56,62-84,174-197,200-223,248-270,278-298,336-357	1-431			1	1-31,85-172,225-245,295-413,461-1055,1119-1164
519			Q92786		ENST00000366958	579-732				1	1-583
520			Q92826		ENST00000290295	217-273	102-211			1	1-227
521			Q92858		ENST00000306011	160-212				1	1-162,216-355
522			Q92886		ENST00000314744	93-145	150-237			1	1-89,156-238
523			Q92949		ENST00000322957	121-210	293-406			1	1-114,224-422
524			Q969G2		ENST00000263726	158-214				1	1-22,149-162,219-391
525			Q969J2		ENST00000377294	320-342,348-370,376-398,404-426,432-454,487-509,515-537				1	1-67,137-318,453-483
526			Q96A47		ENST00000290759	192-248				1	1-20,149-196,255-360
527			Q96B54		ENST00000300811	160-187				1	1-189
528			Q96BF6		ENST00000277554	1-587				1	123-303,469-588
529			Q96BV0		ENST00000329630	107-129,135-157,163-185,191-213,281-303,309-331,337-359,367-388,446-468,474-496,502-524				1	1-106,217-278,354-442,518-538
530			Q96C00		ENST00000395064	411-433,438-459				1	1-24,144-395
531			Q96C28		ENST00000358656	204-226,232-254,260-282,288-310,316-338,344-366				1	58-176
532			Q96C55		ENST00000301073	114-136,142-164,170-192,198-221				1	1-113,218-265
533			Q96CK0		ENST00000293771	467-492,498-522,528-550,556-578,586-609				1	1-56,95-115,172-465
534			Q96CS4		ENST00000287461	150-170,177-199,205-227,233-255,261-283,289-311,317-339,345-367,373-395,401-423,429-451,457-478				1	1-30,80-153,476-501
535			Q96DN6		ENST00000355673	12-86				1	1-24,76-1004
536			Q96EG3		ENST00000427624	271-293,299-321,363-385,391-413,419-441,447-469,475-497,503-525				1	1-265,328-364,519-532
537			Q96EK4		ENST00000303596	5-136				1	82-254
538			Q96H40		ENST00000335117	210-232,238-260,266-288,294-316,322-344,350-372,378-400,406-428,434-456				1	79-207
539			Q96IR2		ENST00000458035	215-237,243-265,271-293,299-321,327-349,355-377,383-405,411-433,439-461,467-489,495-517,523-545,551-573,579-601,607-629,635-657,663-685,691-713,719-741,747-769,775-797,803-825,831-853,859-881,887-909,915-937,943-965				1	49-218,958-971
540			Q96IS3		ENST00000555633	28-84				1	1-30,88-185
541			Q96IU2		ENST00000255198	46-98				1	1-139,197-235
542			Q96JC4		ENST00000319636	213-235,241-263,269-291,297-319,325-347,353-375,381-403,409-431,437-459,465-487,493-515				1	1-16,69-216
543			Q96JF6		ENST00000399604	105-121,127-149,155-177,183-205,211-233,239-261,267-289,295-317,323-345,376-398,404-426,432-454,460-482,488-510,516-538,568-590,624-646,652-674,680-702,708-730,761-783				1	1-128,346-374,538-567,736-808
544			Q96JG9		ENST00000565624	3338-3359,3365-3388,3418-3440				1	1-3116,3205-3337,3442-3954
545			Q96JM3		ENST00000361283	13-36,61-84,708-731,737-759,764-785				1	85-691,798-813
546			Q96K62		ENST00000354590	403-425,431-453,459-481,487-508				1	126-399
547			Q96K75		ENST00000295208	204-226,232-254,260-282,288-310,316-338,344-366,372-394				1	55-201
548			Q96K83		ENST00000361524	118-140,146-168,174-196,202-224,246-269,281-304,311-332,437-460,477-500,513-536,560-585,634-656,664-686,694-717,722-745,752-775,809-832,886-909,930-952,1138-1161,1195-1217,1225-1247,1256-1279,1286-1309				1	1-121,208-479,530-561,603-627,832-892,1040-1196
549			Q96KM6		ENST00000369888	105-128,540-563,594-617,630-653,784-807				1	1-86,165-507,556-584,643-690,813-893
550			Q96LU7		ENST00000552032	257-404	2-81			1	1-216,577-753
551			Q96LW1		ENST00000322434	214-236,242-264,270-292,494-516,522-544,550-572,578-600				1	67-211,318-349
552			Q96LX8		ENST00000301744	156-178,184-206,212-234,240-262,341-363,397-419				1	1-153,258-340
553			Q96MA1		ENST00000371445	7-53				1	67-343
554			Q96MM3		ENST00000326866	188-212,217-239,245-269,275-299				1	1-190,293-311
555			Q96MR9		ENST00000301480	348-370,376-398,404-426,432-454,488-510,516-538,544-566,572-594,600-622,631-650,656-678,712-734,740-762,768-790				1	98-347,463-487
556			Q96MW7		ENST00000408957	9-61	402-521			1	1-15,542-592
557			Q96MX3		ENST00000320159	113-134,140-162,192-214,220-242,275-297,303-325,331-353,359-381,451-473,543-565,571-593				1	1-111,154-273,381-546,595-619
558			Q96N20		ENST00000574298	161-183,189-211,217-239,245-267,273-295				1	47-137
559			Q96N58		ENST00000421239	262-281,287-309,315-337,343-365,371-393,399-421,427-449,455-477,483-505,511-533,539-561				1	1-23,63-268
560			Q96NB3		ENST00000361952	47-81				1	1-15,81-265
561			Q96ND8		ENST00000291598	212-234,240-262,268-290,296-318,324-346,352-374,380-402,408-430,436-458,464-486,492-514,520-542				1	60-211,540-570
562			Q96NG8		ENST00000301310	199-221,227-249,255-277,283-305,311-333,339-361,367-389,395-417,423-445				1	70-193,450-518
563			Q96NJ6		ENST00000318833	141-163,169-191,197-219,225-247,253-275,281-303,309-331,337-359,365-387,393-415,421-443,449-471,477-499				1	1-139
564			Q96NK8		ENST00000297142	95-147	1-40,232-270			1	1-88,179-338
565			Q96PE6		ENST00000269834	167-189,195-217,223-245,251-273,279-301,307-329,335-357,363-385,391-413,419-441,447-470				1	54-167
566			Q96QR8		ENST00000395699	1-312				1	1-35,101-223,289-313
567			Q96QS3		ENST00000379044	329-385	472-562			1	1-327,387-563
568			Q96RJ6		ENST00000275461	102-154				1	1-94
569			Q96S65		ENST00000273153	1-589	372-451,482-589			1	1-72,160-209,308-590
570			Q96SC8		ENST00000404795	66-112				1	1-60,134-320,355-543
571			Q96SL8		ENST00000221665	23-45,51-73,79-101,107-130,228-250,331-352,358-381,414-436,442-464,470-492				1	1-17,127-196,249-330,378-410
572			Q96T25		ENST00000267294	407-425,434-461,467-491,497-521,527-551				1	1-425,550-640
573			Q96T58		ENST00000375759	1-3664				1	1-346,624-3496
574			Q96T92		ENST00000307169	263-284,291-313,426-448,470-492,525-548				1	1-261,311-529
575			Q99453		ENST00000226382	99-155				1	1-100,162-315
576			Q99459		ENST00000371477	8-54,60-104				1	110-158,203-617
577			Q99551		ENST00000351870	76-389				1	1-72
578			Q99581		ENST00000295727	48-127				1	1-28,135-239
579			Q99583		ENST00000174618	221-272				1	1-223,317-583
580			Q99594		ENST00000338863	19-141	111-435			1	1-36,112-216
581			Q99607		ENST00000308167	210-291	1-86			1	1-204,299-664
582			Q99626		ENST00000381020	187-243	2-181			1	1-171,247-314
